voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-0.817312654,non,-0.021368267,-0.042736533,-0.0641048,-0.085473067,-0.106841333
-0.815506674,non,-0.021307733,-0.042615467,-0.0639232,-0.085230933,-0.106538667
-0.813695645,non,-0.0212472,-0.0424944,-0.0637416,-0.0849888,-0.106236
-0.811879596,non,-0.021186667,-0.042373333,-0.06356,-0.084746667,-0.105933333
-0.810058554,non,-0.021126133,-0.042252267,-0.0633784,-0.084504533,-0.105630667
-0.808232549,non,-0.0210656,-0.0421312,-0.0631968,-0.0842624,-0.105328
-0.806401607,non,-0.021005067,-0.042010133,-0.0630152,-0.084020267,-0.105025333
-0.804565755,non,-0.020944533,-0.041889067,-0.0628336,-0.083778133,-0.104722667
-0.802725022,non,-0.020884,-0.041768,-0.062652,-0.083536,-0.10442
-0.800879434,non,-0.020823467,-0.041646933,-0.0624704,-0.083293867,-0.104117333
-0.799029017,non,-0.020762933,-0.041525867,-0.0622888,-0.083051733,-0.103814667
-0.797173798,non,-0.0207024,-0.0414048,-0.0621072,-0.0828096,-0.103512
-0.795313804,non,-0.020641867,-0.041283733,-0.0619256,-0.082567467,-0.103209333
-0.793449061,non,-0.020581333,-0.041162667,-0.061744,-0.082325333,-0.102906667
-0.791579594,non,-0.0205208,-0.0410416,-0.0615624,-0.0820832,-0.102604
-0.78970543,non,-0.020460267,-0.040920533,-0.0613808,-0.081841067,-0.102301333
-0.787826594,non,-0.020399733,-0.040799467,-0.0611992,-0.081598933,-0.101998667
-0.78594311,non,-0.0203392,-0.0406784,-0.0610176,-0.0813568,-0.101696
-0.784055006,non,-0.020278667,-0.040557333,-0.060836,-0.081114667,-0.101393333
-0.782162305,non,-0.020218133,-0.040436267,-0.0606544,-0.080872533,-0.101090667
-0.780265032,non,-0.0201576,-0.0403152,-0.0604728,-0.0806304,-0.100788
-0.778363212,non,-0.020097067,-0.040194133,-0.0602912,-0.080388267,-0.100485333
-0.776456869,non,-0.020036533,-0.040073067,-0.0601096,-0.080146133,-0.100182667
-0.774546028,non,-0.019976,-0.039952,-0.059928,-0.079904,-0.09988
-0.772630713,non,-0.019915467,-0.039830933,-0.0597464,-0.079661867,-0.099577333
-0.770710947,non,-0.019854933,-0.039709867,-0.0595648,-0.079419733,-0.099274667
-0.768786755,non,-0.0197944,-0.0395888,-0.0593832,-0.0791776,-0.098972
-0.76685816,non,-0.019733867,-0.039467733,-0.0592016,-0.078935467,-0.098669333
-0.764925186,non,-0.019673333,-0.039346667,-0.05902,-0.078693333,-0.098366667
-0.762987855,non,-0.0196128,-0.0392256,-0.0588384,-0.0784512,-0.098064
-0.761046191,non,-0.019552267,-0.039104533,-0.0586568,-0.078209067,-0.097761333
-0.759100217,non,-0.019491733,-0.038983467,-0.0584752,-0.077966933,-0.097458667
-0.757149956,non,-0.0194312,-0.0388624,-0.0582936,-0.0777248,-0.097156
-0.75519543,non,-0.019370667,-0.038741333,-0.058112,-0.077482667,-0.096853333
-0.753236662,non,-0.019310133,-0.038620267,-0.0579304,-0.077240533,-0.096550667
-0.751273674,non,-0.0192496,-0.0384992,-0.0577488,-0.0769984,-0.096248
-0.749306489,non,-0.019189067,-0.038378133,-0.0575672,-0.076756267,-0.095945333
-0.747335129,non,-0.019128533,-0.038257067,-0.0573856,-0.076514133,-0.095642667
-0.745359615,non,-0.019068,-0.038136,-0.057204,-0.076272,-0.09534
-0.743379969,non,-0.019007467,-0.038014933,-0.0570224,-0.076029867,-0.095037333
-0.741396214,non,-0.018946933,-0.037893867,-0.0568408,-0.075787733,-0.094734667
-0.73940837,non,-0.0188864,-0.0377728,-0.0566592,-0.0755456,-0.094432
-0.73741646,non,-0.018825867,-0.037651733,-0.0564776,-0.075303467,-0.094129333
-0.735420503,non,-0.018765333,-0.037530667,-0.056296,-0.075061333,-0.093826667
-0.733420522,non,-0.0187048,-0.0374096,-0.0561144,-0.0748192,-0.093524
-0.731416538,non,-0.018644267,-0.037288533,-0.0559328,-0.074577067,-0.093221333
-0.729408571,non,-0.018583733,-0.037167467,-0.0557512,-0.074334933,-0.092918667
-0.727396642,non,-0.0185232,-0.0370464,-0.0555696,-0.0740928,-0.092616
-0.725380773,non,-0.018462667,-0.036925333,-0.055388,-0.073850667,-0.092313333
-0.723360982,non,-0.018402133,-0.036804267,-0.0552064,-0.073608533,-0.092010667
-0.721337291,non,-0.0183416,-0.0366832,-0.0550248,-0.0733664,-0.091708
-0.719309721,non,-0.018281067,-0.036562133,-0.0548432,-0.073124267,-0.091405333
-0.71727829,non,-0.018220533,-0.036441067,-0.0546616,-0.072882133,-0.091102667
-0.71524302,non,-0.01816,-0.03632,-0.05448,-0.07264,-0.0908
-0.71320393,non,-0.018099467,-0.036198933,-0.0542984,-0.072397867,-0.090497333
-0.711161041,non,-0.018038933,-0.036077867,-0.0541168,-0.072155733,-0.090194667
-0.709114371,non,-0.0179784,-0.0359568,-0.0539352,-0.0719136,-0.089892
-0.70706394,non,-0.017917867,-0.035835733,-0.0537536,-0.071671467,-0.089589333
